,icao,iata,name,city,lat,lon
12310,KDTL,DTL,Detroit Lakes/Wething Field,Detroit Lakes,46.82305,-95.88279
12311,KDTN,DTN,Shreveport Downtown Airport,Shreveport,32.54082,-93.74384
12313,KDTS,DSI,Destin Executive Airport,Destin,30.4,-86.5
12314,KDTW,DTW,Detroit Metro Wayne County Airport,Detroit,42.21244,-83.35339
12315,KDUA,DUA,Durant Regional/Eaker Field,Durant,33.9397,-96.39506
12317,KDUC,DUC,Halliburton Field,Duncan,34.47087,-97.95986
12318,KDUG,DUG,Bisbee Douglas International Airport,Douglas Bisbee,31.46894,-109.60375
12320,KDUJ,DUJ,Dubois Regional Airport,Dubois,41.17828,-78.89869
12323,KDVL,DVL,Devils Lake Regional Airport,Devils Lake,48.11659,-98.90999
12324,KDVN,DVN,Davenport Municipal Airport,Davenport,41.61028,-90.58836
12325,KDVO,NOT,Gnoss Field,Novato,38.14358,-122.55709
12326,KDVP,NSL,Slayton Municipal Airport,Slayton,43.9868,-95.78261
12327,KDVT,DVT,Phoenix Deer Valley Airport,Phoenix,33.68831,-112.08256
12329,KDWH,DWH,David Wayne Hooks Memorial Airport,Houston,30.06178,-95.55279
12333,KDXR,DXR,Danbury Municipal Airport,Danbury,41.37153,-73.48219
12337,KDYL,DYL,Doylestown Airport,Doylestown,40.33305,-75.12234
12339,KDYS,DYS,Dyess Afb Airport,Abilene,32.41848,-99.85654
12343,KE01,MIF,Roy Hurd Memorial Airport,Monahans,31.58247,-102.90903
12348,KE13,CCG,Crane County Airport,Crane,31.41157,-102.36047
12349,KE14,ESO,Ohkay Owingeh Airport,Espanola,36.02612,-106.04541
12352,KE24,WTR,Whiteriver Airport,Whiteriver,33.81061,-109.98574
12361,KE38,ALE,Alpine-Casparis Municipal Airport,Alpine,30.38422,-103.68358
12367,KE51,BGT,Bagdad Airport,Bagdad,34.59289,-113.17195
12389,KEAN,EAN,Phifer Airfield,Wheatland,42.05552,-104.92828
12390,KEAR,EAR,Kearney Regional Airport,Kearney,40.72704,-99.00677
12391,KEAT,EAT,Pangborn Memorial Airport,Wenatchee,47.39881,-120.20683
12392,KEAU,EAU,Chippewa Valley Regional Airport,Eau Claire,44.86581,-91.48425
12396,KEBS,EBS,Webster City Municipal Airport,Webster City,42.43641,-93.86897
12397,KECG,ECG,Elizabeth City Cg Air Station/Regional Airport,Elizabeth City,36.26058,-76.17457
12398,KECP,ECP,Northwest Florida Beaches International Airport,Panama City,30.35824,-85.7956
12399,KECS,ECS,Mondell Field,Newcastle,43.88425,-104.3145
12402,KEDE,EDE,Northeastern Regional Airport,Edenton,36.02859,-76.56977
12404,KEDN,ETS,Enterprise Municipal Airport,Enterprise,31.29972,-85.89983
12406,KEDW,EDW,Edwards Afb Airport,Edwards,34.90809,-117.88553
12407,KEED,EED,Needles Airport,Needles,34.76635,-114.62328
12408,KEEN,EEN,Dillant/Hopkins Airport,Keene,42.89839,-72.27078
12412,KEFD,EFD,Ellington Airport,Houston,29.60733,-95.15875
12413,KEFK,EFK,Northeast Kingdom International Airport,Newport,44.88818,-72.22864
12415,KEFW,EFW,Jefferson Municipal Airport,Jefferson,42.00983,-94.34181
12416,KEGE,EGE,Eagle County Regional Airport,Eagle,39.64275,-106.91594
12417,KEGI,EGI,"Duke Field,(Eglin Af Aux Nr 3) Airport",Crestview,30.64859,-86.52196
12420,KEGV,EGV,Eagle River Union Airport,Eagle River,45.93233,-89.26828
12426,KEKA,EKA,Murray Field,Eureka,40.8034,-124.11279
12427,KEKM,EKI,Elkhart Municipal Airport,Elkhart,41.71941,-86.00322
12428,KEKN,EKN,Elkins/Randolph County (Jennings Randolph Field) Airport,Elkins,38.88944,-79.85714
12429,KEKO,EKO,Elko Regional Airport,Elko,40.825,-115.79133
12432,KEKX,EKX,Addington Field,Elizabethtown,37.686,-85.92503
12434,KELA,ELA,Eagle Lake Airport,Eagle Lake,29.60003,-96.32194
12435,KELD,ELD,South Arkansas Regional At Goodwin Field,El Dorado,33.22124,-92.81175
12436,KELK,ELK,Elk City Regional Business Airport,Elk City,35.43078,-99.39428
12437,KELM,ELM,Elmira/Corning Regional Airport,Elmira/Corning,42.2,-76.9
12438,KELN,ELN,Bowers Field,Ellensburg,47.03485,-120.52886
12439,KELO,LYU,Ely Municipal Airport,Ely,47.82401,-91.82932
12440,KELP,ELP,El Paso International Airport,El Paso,31.80733,-106.37636
12441,KELY,ELY,Ely/Yelland Field,Ely,39.29969,-114.84188
12442,KELZ,ELZ,Wellsville Municipal/Tarantine Field,Wellsville,42.10952,-77.98998
12443,KEMM,EMM,Kemmerer Municipal Airport,Kemmerer,41.82408,-110.55694
12444,KEMP,EMP,Emporia Municipal Airport,Emporia,38.33056,-96.18994
12445,KEMT,EMT,San Gabriel Valley Airport,El Monte,34.08601,-118.03485
12447,KEND,END,Vance Afb Airport,Enid,36.33981,-97.91724
12448,KENL,ENL,Centralia Municipal Airport,Centralia,38.51508,-89.09114
12449,KENV,ENV,Wendover Airport,Wendover,40.71873,-114.02867
12450,KENW,ENW,Kenosha Regional Airport,Kenosha,42.59606,-87.92732
12453,KEOK,EOK,Keokuk Municipal Airport,Keokuk,40.45991,-91.4285
12455,KEOS,EOS,Neosho Hugh Robinson Airport,Neosho,36.81081,-94.39169
12456,KEPH,EPH,Ephrata Municipal Airport,Ephrata,47.30807,-119.51691
12458,KEQA,EDK,El Dorado/Capt Jack Thomas Memorial Airport,El Dorado,37.77411,-96.81772
12460,KERI,ERI,Erie International/Tom Ridge Field,Erie,42.08308,-80.17394
12461,KERR,ERR,Errol Airport,Errol,44.79217,-71.16453
12462,KERV,ERV,Kerrville Municipal/Louis Schreiner Field,Kerrville,29.97667,-99.08547
12464,KESC,ESC,Delta County Airport,Escanaba,45.72267,-87.09372
12465,KESF,ESF,Esler Regional Airport,Alexandria,31.3949,-92.29577
12466,KESN,ESN,Easton/Newnam Field,Easton,38.80416,-76.06899
12467,KEST,EST,Estherville Municipal Airport,Estherville,43.40747,-94.74639
12468,KESW,ESW,Easton State Airport,Easton,47.25418,-121.18553
12469,KETB,ETB,West Bend Municipal Airport,West Bend,43.42217,-88.12792
12472,KETN,ETN,Eastland Municipal Airport,Eastland,32.41489,-98.80969
12473,KEUF,EUF,Weedon Field,Eufaula,31.95131,-85.12892
12474,KEUG,EUG,Mahlon Sweet Field,Eugene,44.12458,-123.21197
12477,KEVM,EVM,Eveleth/Virginia Municipal Airport,Eveleth,47.42417,-92.49656
12479,KEVV,EVV,Evansville Regional Airport,Evansville,38.04081,-87.5285
12480,KEVW,EVW,Evanston-Uinta County Burns Field,Evanston,41.27478,-111.03464
12482,KEWB,EWB,New Bedford Regional Airport,New Bedford,41.67657,-70.95784
12483,KEWK,EWK,Newton-City-County Airport,Newton,38.0571,-97.27523
12484,KEWN,EWN,Coastal Carolina Regional Airport,New Bern,35.07285,-77.04302
12485,KEWR,EWR,Newark Liberty International Airport,Newark,40.69248,-74.16869
